wowee@gmail.com,who,zook,nook,N/A,N/A,N/A,Any,N/A,N/A,2,3,N/A,N/A
wewewwewe,123,wew,wwwww,N/A,N/A,N/A,Any,N/A,N/A,1,1,N/A,N/A
test,test,testyFirstName,testyLastName,N/A,N/A,Male,N/A,N/A,N/A,1,1,N/A,N/A
yourmom@gmail.com,123,bigboi,bigman,N/A,N/A,Male,Any,N/A,N/A,8323026942,20,N/A,N/A
bruh@gmail.com,123,bigguy,wowo,Cardio,Early Morning,Male,Male,Once,<100,N/A,N/A,Lose Weight,None
chaseisdumb@email.com,222,bigcrusher,chaseisdumb,Cardio,Early Morning,Male,Male,Once,<100,N/A,N/A,Lose Weight,None
wow@gmail.com,123,coolguy,bobisaslob,Cardio,Early Morning,Male,Male,Once,<100,N/A,N/A,Lose Weight,None
chasepoo@gmail.com,test,Chase,Manseth,Cardio,Early Morning,Male,Male,Once,200-225,123,1,Lose Weight,None
chasiePoo@gmail.com,test,Chase,ChasePoo,Cardio,Early Morning,Male,Male,Once,<100,123,12,Lose Weight,None
123123@gmail.com,123123,123123,123123,Cardio,Early Morning,Male,Male,Once,<100,123123,23,Lose Weight,None
sailboat@gmail.com,test,Sail,Boat,Cardio,Early Morning,Male,Male,Once,<100,123,23,Lose Weight,None
thisisaemail@gmail.com,123123,Zav,Tew,Cardio,Early Morning,Male,Male,Once,<100,123,32,Lose Weight,None
53abs@gmail.com,123,Test,test123,Cardio,Early Morning,Male,Male,Once,<100,123,654,Lose Weight,None
new@gmail.com,123123,New,User,Cardio,Early Morning,Male,Male,Once,<100,323,6,Lose Weight,None
